Año;LOCALIDAD;EDAD;Adolescentes encuestados;Adolesc_alteraciónensalud;Adolesc_somnolenciadiurna;Adolesc_usodeAudifonos
2022;Santa Fe;15;13;2;0;9
2022;Santa Fe;16;15;2;0;10
2022;Santa Fe;17;6;2;0;5
2022;Suba;11;33;3;0;16
2022;Suba;12;41;8;2;27
2022;Suba;13;47;12;0;35
2022;Suba;14;41;10;5;27
2022;Suba;15;48;6;2;37
2022;Suba;16;35;7;7;30
2022;Suba;17;39;8;1;29
2022;Teusaquillo;11;3;0;0;2
2022;Teusaquillo;12;1;0;0;1
2022;Teusaquillo;13;1;1;0;1
2022;Teusaquillo;14;2;1;0;2
2022;Teusaquillo;16;4;2;0;3
2022;Teusaquillo;17;5;1;0;4
2022;Tunjuelito;11;19;1;0;7
2022;Tunjuelito;12;16;1;0;9
2022;Tunjuelito;13;21;0;0;16
2022;Tunjuelito;14;12;1;1;9
2022;Tunjuelito;15;15;0;0;14
2022;Tunjuelito;16;8;2;0;6
2022;Tunjuelito;17;8;3;0;7
2022;Usaquén;11;13;3;0;7
2022;Usaquén;12;9;2;1;5
2022;Usaquén;13;14;1;2;10
2022;Usaquén;14;18;3;0;13
2022;Usaquén;15;9;1;2;5
2022;Usaquén;16;9;2;2;7
2022;Usaquén;17;8;2;0;6
2022;Usme;11;28;3;0;14
2022;Usme;12;31;5;1;18
2022;Usme;13;30;6;1;25
2022;Usme;14;23;3;1;18
2022;Usme;15;24;4;2;15
2022;Usme;16;16;4;1;11
2022;Usme;17;11;1;0;7
2023;Antonio Nariño;11;16;0;1;10
2023;Antonio Nariño;12;12;1;1;8
2023;Antonio Nariño;13;23;1;0;17
2023;Antonio Nariño;14;23;1;1;19
2023;Antonio Nariño;15;15;0;0;9
2023;Antonio Nariño;16;12;0;1;12
2023;Antonio Nariño;17;9;1;1;7
2023;Barrios Unidos;11;8;0;0;3
2023;Barrios Unidos;12;12;0;0;6
2023;Barrios Unidos;13;12;1;2;5
